,year,Name,Abbr,Votes,Percent,Mandates
118,['1994'],Die Beste Partei,DBP,581,0.0, 
119,['1995'],Sozialistische Partei Österreichs,SPÖ,1843679,38.1,71
120,['1995'],Österreichische Volkspartei,ÖVP,1370497,28.3,53
121,['1995'],Freiheitliche Partei Österreichs,FPÖ,1060175,21.9,40
122,['1995'],Die Grünen - Die Grüne Alternative,GRÜNE,233232,4.8,9
123,['1995'],Liberales Forum - Heide Schmidt,LIF,267078,5.5,10
124,['1995'],Bürgerinitiative Nein zur EU - Austritt jetzt,NEIN,53184,1.1,-
125,['1995'],Kommunistische Partei Österreichs,KPÖ,13939,0.3,-
126,['1995'],Österreichische Naturgesetz - Partei,ÖNP,1634,0.0,-
127,['1995'],Die Beste Partei - Reinhard Eberhart,DBP,830,0.0,-
128,"['1995', '1996']",Sozialistische Partei Österreichs,SPÖ,1843474,38.1,71
129,"['1995', '1996']",Österreichische Volkspartei,ÖVP,1370510,28.3,52
130,"['1995', '1996']",Freiheitliche Partei Österreichs,FPÖ,1060377,22.0,41
131,"['1995', '1996']",Die Grünen - Die Grüne Alternative,GRÜNE,233208,4.8,9
132,"['1995', '1996']",Liberales Forum - Heide Schmidt,LIF,267026,5.5,10
133,"['1995', '1996']",Bürgerinitiative Nein zur EU - Austritt jetzt,NEIN,53176,1.1,-
134,"['1995', '1996']",Kommunistische Partei Österreichs,KPÖ,13938,0.3,-
135,"['1995', '1996']",Österreichische Naturgesetz - Partei,ÖNP,1634,0.0,-
136,"['1995', '1996']",Die Beste Partei - Reinhard Eberhart,DBP,830,0.0,-
