,year,Name,Abbr,Votes,Percent,Mandates
39,['2006'],Österreichische Volkspartei,ÖVP,2076833,42.30%,
40,['2006'],Die Grünen - Die Grüne Alternative,GRÜNE,464980,9.47%,
41,['2006'],Kommunistische Partei Österreichs,KPÖ,27568,0.56%,
42,['2006'],Die Liberalen (Liberales Forum),LIF,48083,0.98%,
43,['2006'],Die Demokraten, ,2439,0.05%,
44,['2006'],Christliche Wählergemeinschaft,CWG,2009,0.04%,
45,['2006'],Sozialistische Links Partei,SLP,3906,0.08%,
46,['2006'],Österreichische Volkspartei,ÖVP,1616493,34.33%,
47,['2006'],Sozialdemokratische Partei Österreichs,SPÖ,1663986,35.34%,
48,['2006'],Freiheitliche Partei Österreichs,FPÖ,519598,11.04%,
49,['2006'],Die Grünen - Die Grüne Alternative,GRÜNE,520130,11.05%,
50,['2006'],Die Freiheitlichen - Liste Westenthaler - BZÖ,BZÖ,193539,4.11%,
51,['2006'],Kommunistische Partei Österreichs,KPÖ,47578,1.01%,
52,['2006'],"Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit",MATIN,131688,2.80%,
53,['2006'],EU-Austritt - Neutrales Freies Österreich,NFÖ,10594,0.23%,
54,['2006'],IVE INITIATIVE2000,IVE,592,0.01%,
55,['2006'],Liste Stark,STARK,312,0.01%,
56,['2006'],"Sicher-Absolut-Unabhängig, Franz Radinger",SAU,1514,0.03%,
57,['2006'],"Sozialistische LinksPartei, Liste gegen Kapitalismus und Rassismus",SLP,2257,0.05%,
58,['2008'],Sozialdemokratische Partei Österreichs,SPÖ,1532448,33.15%,
59,['2008'],Österreichische Volkspartei,ÖVP,1243672,26.91%,
60,['2008'],Freiheitliche Partei Österreichs,FPÖ,1244087,26.91%,
61,['2008'],Liberales Forum - Heide Schmidt,LIF,168612,3.65%,
62,['2008'],Die Grünen - Die Grüne Alternative,GRÜNE,342260,7.40%,
63,['2008'],Kommunistische Partei Österreichs,KPÖ,22016,0.48%,
64,['2008'],Die Unabhängigen - Liste Lugner,DU,46943,1.02%,
65,['2008'],Nein zu NATO und EU Neutrales Österreich Bürgerinitiative,NEIN,19286,0.42%,
66,['2008'],Christliche Wählergemeinschaft,CWG,3030,0.07%,
67,['2008'],Sozialdemokratische Partei Österreichs,SPÖ,1792499,36.51%,
68,['2008'],Freiheitliche Partei Österreichs,FPÖ,491328,10.01%,
69,['2008'],Österreichische Volkspartei,ÖVP,2076833,42.30%,
70,['2008'],Die Grünen - Die Grüne Alternative,GRÜNE,464980,9.47%,
71,['2008'],Kommunistische Partei Österreichs,KPÖ,27568,0.56%,
72,['2008'],Die Liberalen (Liberales Forum),LIF,48083,0.98%,
73,['2008'],Die Demokraten, ,2439,0.05%,
74,['2008'],Christliche Wählergemeinschaft,CWG,2009,0.04%,
75,['2008'],Sozialistische Links Partei,SLP,3906,0.08%,
76,['2008'],Österreichische Volkspartei,ÖVP,1616493,34.33%,
77,['2008'],Sozialdemokratische Partei Österreichs,SPÖ,1663986,35.34%,
78,['2008'],Freiheitliche Partei Österreichs,FPÖ,519598,11.04%,
79,['2008'],Die Grünen - Die Grüne Alternative,GRÜNE,520130,11.05%,
80,['2008'],Die Freiheitlichen - Liste Westenthaler - BZÖ,BZÖ,193539,4.11%,
81,['2008'],Kommunistische Partei Österreichs,KPÖ,47578,1.01%,
82,['2008'],"Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit",MATIN,131688,2.80%,
83,['2008'],EU-Austritt - Neutrales Freies Österreich,NFÖ,10594,0.23%,
84,['2008'],IVE INITIATIVE2000,IVE,592,0.01%,
85,['2008'],Liste Stark,STARK,312,0.01%,
86,['2008'],"Sicher-Absolut-Unabhängig, Franz Radinger",SAU,1514,0.03%,
87,['2008'],"Sozialistische LinksPartei, Liste gegen Kapitalismus und Rassismus",SLP,2257,0.05%,
88,['2008'],Sozialdemokratische Partei Österreichs,SPÖ,1430206,29.26%,
89,['2008'],Österreichische Volkspartei,ÖVP,1269656,25.98%,
90,['2008'],Die Grünen - Die Grüne Alternative,GRÜNE,509936,10.43%,
91,['2008'],Freiheitliche Partei Österreichs,FPÖ,857029,17.54%,
92,['2008'],BZÖ - Liste Jörg Haider,BZÖ,522933,10.70%,
93,['2008'],Bürgerforum Österreich Liste Fritz Dinkhauser,FRITZ,86194,1.76%,
94,['2008'],Die Christen,DC,31080,0.64%,
95,['2008'],Kommunistische Partei Österreichs,KPÖ,37362,0.76%,
96,['2008'],Liberales Forum,LIF,102249,2.09%,
97,['2008'],Unabhängige Bürgerinitiative Rettet Österreich,RETTÖ,35718,0.73%,
98,['2008'],Die Linke,LINKE,349,0.01%,
99,['2008'],Dipl.Ing. Karlheinz H. Klement, ,347,0.01%,
100,['2008'],Linke,LINKE,1789,0.04%,
101,['2008'],Liste Stark,STARK,237,0.00%,
102,['2008'],Tierrechtspartei earth-human-animals-nature,TRP,2224,0.05%,
103,['2013'],Sozialdemokratische Partei Österreichs,SPÖ,1532448,33.15%,
104,['2013'],Österreichische Volkspartei,ÖVP,1243672,26.91%,
105,['2013'],Freiheitliche Partei Österreichs,FPÖ,1244087,26.91%,
106,['2013'],Liberales Forum - Heide Schmidt,LIF,168612,3.65%,
107,['2013'],Die Grünen - Die Grüne Alternative,GRÜNE,342260,7.40%,
108,['2013'],Kommunistische Partei Österreichs,KPÖ,22016,0.48%,
109,['2013'],Die Unabhängigen - Liste Lugner,DU,46943,1.02%,
110,['2013'],Nein zu NATO und EU Neutrales Österreich Bürgerinitiative,NEIN,19286,0.42%,
111,['2013'],Christliche Wählergemeinschaft,CWG,3030,0.07%,
112,['2013'],Sozialdemokratische Partei Österreichs,SPÖ,1792499,36.51%,
113,['2013'],Freiheitliche Partei Österreichs,FPÖ,491328,10.01%,
114,['2013'],Österreichische Volkspartei,ÖVP,2076833,42.30%,
115,['2013'],Die Grünen - Die Grüne Alternative,GRÜNE,464980,9.47%,
116,['2013'],Kommunistische Partei Österreichs,KPÖ,27568,0.56%,
117,['2013'],Die Liberalen (Liberales Forum),LIF,48083,0.98%,
118,['2013'],Die Demokraten, ,2439,0.05%,
119,['2013'],Christliche Wählergemeinschaft,CWG,2009,0.04%,
120,['2013'],Sozialistische Links Partei,SLP,3906,0.08%,
121,['2013'],Österreichische Volkspartei,ÖVP,1616493,34.33%,
122,['2013'],Sozialdemokratische Partei Österreichs,SPÖ,1663986,35.34%,
123,['2013'],Freiheitliche Partei Österreichs,FPÖ,519598,11.04%,
124,['2013'],Die Grünen - Die Grüne Alternative,GRÜNE,520130,11.05%,
125,['2013'],Die Freiheitlichen - Liste Westenthaler - BZÖ,BZÖ,193539,4.11%,
126,['2013'],Kommunistische Partei Österreichs,KPÖ,47578,1.01%,
127,['2013'],"Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit",MATIN,131688,2.80%,
128,['2013'],EU-Austritt - Neutrales Freies Österreich,NFÖ,10594,0.23%,
129,['2013'],IVE INITIATIVE2000,IVE,592,0.01%,
130,['2013'],Liste Stark,STARK,312,0.01%,
131,['2013'],"Sicher-Absolut-Unabhängig, Franz Radinger",SAU,1514,0.03%,
132,['2013'],"Sozialistische LinksPartei, Liste gegen Kapitalismus und Rassismus",SLP,2257,0.05%,
133,['2013'],Sozialdemokratische Partei Österreichs,SPÖ,1430206,29.26%,
134,['2013'],Österreichische Volkspartei,ÖVP,1269656,25.98%,
135,['2013'],Die Grünen - Die Grüne Alternative,GRÜNE,509936,10.43%,
136,['2013'],Freiheitliche Partei Österreichs,FPÖ,857029,17.54%,
137,['2013'],BZÖ - Liste Jörg Haider,BZÖ,522933,10.70%,
138,['2013'],Bürgerforum Österreich Liste Fritz Dinkhauser,FRITZ,86194,1.76%,
139,['2013'],Die Christen,DC,31080,0.64%,
140,['2013'],Kommunistische Partei Österreichs,KPÖ,37362,0.76%,
141,['2013'],Liberales Forum,LIF,102249,2.09%,
142,['2013'],Unabhängige Bürgerinitiative Rettet Österreich,RETTÖ,35718,0.73%,
143,['2013'],Die Linke,LINKE,349,0.01%,
144,['2013'],Dipl.Ing. Karlheinz H. Klement, ,347,0.01%,
145,['2013'],Linke,LINKE,1789,0.04%,
146,['2013'],Liste Stark,STARK,237,0.00%,
147,['2013'],Tierrechtspartei earth-human-animals-nature,TRP,2224,0.05%,
148,['2013'],Sozialdemokratische Partei Österreichs,SPÖ,1258605,26.82%,
149,['2013'],Österreichische Volkspartei,ÖVP,1125876,23.99%,
150,['2013'],Freiheitliche Partei Österreichs,FPÖ,962313,20.51%,
151,['2013'],BZÖ - Liste Josef Bucher,BZÖ,165746,3.53%,
152,['2013'],Die Grünen - Die Grüne Alternative,GRÜNE,582657,12.42%,
153,['2013'],Team Frank Stronach,FRANK,268679,5.73%,
154,['2013'],NEOS Das Neue Österreich und Liberales Forum,NEOS,232946,4.96%,
155,['2013'],Kommunistische Partei Österreichs,KPÖ,48175,1.03%,
156,['2013'],Piratenpartei Österreichs,PIRAT,36265,0.77%,
157,['2013'],Christliche Partei Österreichs,CPÖ,6647,0.14%,
158,['2013'],Der Wandel,WANDL,3051,0.07%,
159,['2013'],Männerpartei,M ,490,0.01%,
160,['2013'],EU-Austrittspartei,EUAUS,510,0.01%,
161,['2013'],Sozialistische LinksPartei,SLP,947,0.02%,
162,['2017'],Sozialdemokratische Partei Österreichs,SPÖ,1532448,33.15%,
163,['2017'],Österreichische Volkspartei,ÖVP,1243672,26.91%,
164,['2017'],Freiheitliche Partei Österreichs,FPÖ,1244087,26.91%,
165,['2017'],Liberales Forum - Heide Schmidt,LIF,168612,3.65%,
166,['2017'],Die Grünen - Die Grüne Alternative,GRÜNE,342260,7.40%,
167,['2017'],Kommunistische Partei Österreichs,KPÖ,22016,0.48%,
168,['2017'],Die Unabhängigen - Liste Lugner,DU,46943,1.02%,
169,['2017'],Nein zu NATO und EU Neutrales Österreich Bürgerinitiative,NEIN,19286,0.42%,
170,['2017'],Christliche Wählergemeinschaft,CWG,3030,0.07%,
171,['2017'],Sozialdemokratische Partei Österreichs,SPÖ,1792499,36.51%,
172,['2017'],Freiheitliche Partei Österreichs,FPÖ,491328,10.01%,
173,['2017'],Österreichische Volkspartei,ÖVP,2076833,42.30%,
174,['2017'],Die Grünen - Die Grüne Alternative,GRÜNE,464980,9.47%,
175,['2017'],Kommunistische Partei Österreichs,KPÖ,27568,0.56%,
176,['2017'],Die Liberalen (Liberales Forum),LIF,48083,0.98%,
177,['2017'],Die Demokraten, ,2439,0.05%,
178,['2017'],Christliche Wählergemeinschaft,CWG,2009,0.04%,
179,['2017'],Sozialistische Links Partei,SLP,3906,0.08%,
180,['2017'],Österreichische Volkspartei,ÖVP,1616493,34.33%,
181,['2017'],Sozialdemokratische Partei Österreichs,SPÖ,1663986,35.34%,
182,['2017'],Freiheitliche Partei Österreichs,FPÖ,519598,11.04%,
183,['2017'],Die Grünen - Die Grüne Alternative,GRÜNE,520130,11.05%,
184,['2017'],Die Freiheitlichen - Liste Westenthaler - BZÖ,BZÖ,193539,4.11%,
185,['2017'],Kommunistische Partei Österreichs,KPÖ,47578,1.01%,
186,['2017'],"Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit",MATIN,131688,2.80%,
187,['2017'],EU-Austritt - Neutrales Freies Österreich,NFÖ,10594,0.23%,
188,['2017'],IVE INITIATIVE2000,IVE,592,0.01%,
189,['2017'],Liste Stark,STARK,312,0.01%,
190,['2017'],"Sicher-Absolut-Unabhängig, Franz Radinger",SAU,1514,0.03%,
191,['2017'],"Sozialistische LinksPartei, Liste gegen Kapitalismus und Rassismus",SLP,2257,0.05%,
192,['2017'],Sozialdemokratische Partei Österreichs,SPÖ,1430206,29.26%,
193,['2017'],Österreichische Volkspartei,ÖVP,1269656,25.98%,
194,['2017'],Die Grünen - Die Grüne Alternative,GRÜNE,509936,10.43%,
195,['2017'],Freiheitliche Partei Österreichs,FPÖ,857029,17.54%,
196,['2017'],BZÖ - Liste Jörg Haider,BZÖ,522933,10.70%,
197,['2017'],Bürgerforum Österreich Liste Fritz Dinkhauser,FRITZ,86194,1.76%,
198,['2017'],Die Christen,DC,31080,0.64%,
199,['2017'],Kommunistische Partei Österreichs,KPÖ,37362,0.76%,
200,['2017'],Liberales Forum,LIF,102249,2.09%,
201,['2017'],Unabhängige Bürgerinitiative Rettet Österreich,RETTÖ,35718,0.73%,
202,['2017'],Die Linke,LINKE,349,0.01%,
203,['2017'],Dipl.Ing. Karlheinz H. Klement, ,347,0.01%,
204,['2017'],Linke,LINKE,1789,0.04%,
205,['2017'],Liste Stark,STARK,237,0.00%,
206,['2017'],Tierrechtspartei earth-human-animals-nature,TRP,2224,0.05%,
207,['2017'],Sozialdemokratische Partei Österreichs,SPÖ,1258605,26.82%,
208,['2017'],Österreichische Volkspartei,ÖVP,1125876,23.99%,
209,['2017'],Freiheitliche Partei Österreichs,FPÖ,962313,20.51%,
210,['2017'],BZÖ - Liste Josef Bucher,BZÖ,165746,3.53%,
211,['2017'],Die Grünen - Die Grüne Alternative,GRÜNE,582657,12.42%,
212,['2017'],Team Frank Stronach,FRANK,268679,5.73%,
213,['2017'],NEOS Das Neue Österreich und Liberales Forum,NEOS,232946,4.96%,
214,['2017'],Kommunistische Partei Österreichs,KPÖ,48175,1.03%,
215,['2017'],Piratenpartei Österreichs,PIRAT,36265,0.77%,
216,['2017'],Christliche Partei Österreichs,CPÖ,6647,0.14%,
217,['2017'],Der Wandel,WANDL,3051,0.07%,
218,['2017'],Männerpartei,M ,490,0.01%,
219,['2017'],EU-Austrittspartei,EUAUS,510,0.01%,
220,['2017'],Sozialistische LinksPartei,SLP,947,0.02%,
221,['2017'],Sozialdemokratische Partei Österreichs ,SPÖ,1361746,26.86%,
222,['2017'],Liste Sebastian Kurz - die neue Volkspartei ,ÖVP,1595526,31.47%,
223,['2017'],Freiheitliche Partei Österreichs ,FPÖ,1316442,25.97%,
224,['2017'],Die Grünen - Die Grüne Alternative ,GRÜNE,192638,3.80%,
225,['2017'],"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung",NEOS,268518,5.30%,
226,['2017'],Liste Peter Pilz ,PILZ,223543,4.41%,
227,['2017'],Liste Roland Düringer - Meine Stimme GILT ,GILT,48234,0.95%,
228,['2017'],Freie Liste Österreich & FPS Liste Dr. Karl Schnell,FLÖ,8889,0.18%,
229,['2017'],Kommunistische Partei Österreichs und Plattform Plus - offene Liste,KPÖ,39689,0.78%,
230,['2017'],Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung ,WEIẞE,9167,0.18%,
231,['2017'],Sozialistische LinksPartei ,SLP,713,0.01%,
232,['2017'],"Für Österreich, Zuwanderungsstopp, Grenzschutz, Neutralität, EU-Austritt ",EUAUS,693,0.01%,
233,['2017'],Männerpartei - für ein faires Miteinander ,M,221,0.00%,
234,['2017'],Christliche Partei Österreichs ,CPÖ,425,0.01%,
235,['2017'],NBZ - Neue Bewegung für die Zukunft ,NBZ,2724,0.05%,
236,['2017'],Obdachlose in der Politik ,ODP,761,0.02%,
237,['2019'],Sozialdemokratische Partei Österreichs,SPÖ,1532448,33.15%,
238,['2019'],Österreichische Volkspartei,ÖVP,1243672,26.91%,
239,['2019'],Freiheitliche Partei Österreichs,FPÖ,1244087,26.91%,
240,['2019'],Liberales Forum - Heide Schmidt,LIF,168612,3.65%,
241,['2019'],Die Grünen - Die Grüne Alternative,GRÜNE,342260,7.40%,
242,['2019'],Kommunistische Partei Österreichs,KPÖ,22016,0.48%,
243,['2019'],Die Unabhängigen - Liste Lugner,DU,46943,1.02%,
244,['2019'],Nein zu NATO und EU Neutrales Österreich Bürgerinitiative,NEIN,19286,0.42%,
245,['2019'],Christliche Wählergemeinschaft,CWG,3030,0.07%,
246,['2019'],Sozialdemokratische Partei Österreichs,SPÖ,1792499,36.51%,
247,['2019'],Freiheitliche Partei Österreichs,FPÖ,491328,10.01%,
248,['2019'],Österreichische Volkspartei,ÖVP,2076833,42.30%,
249,['2019'],Die Grünen - Die Grüne Alternative,GRÜNE,464980,9.47%,
250,['2019'],Kommunistische Partei Österreichs,KPÖ,27568,0.56%,
251,['2019'],Die Liberalen (Liberales Forum),LIF,48083,0.98%,
252,['2019'],Die Demokraten, ,2439,0.05%,
253,['2019'],Christliche Wählergemeinschaft,CWG,2009,0.04%,
254,['2019'],Sozialistische Links Partei,SLP,3906,0.08%,
255,['2019'],Österreichische Volkspartei,ÖVP,1616493,34.33%,
256,['2019'],Sozialdemokratische Partei Österreichs,SPÖ,1663986,35.34%,
257,['2019'],Freiheitliche Partei Österreichs,FPÖ,519598,11.04%,
258,['2019'],Die Grünen - Die Grüne Alternative,GRÜNE,520130,11.05%,
259,['2019'],Die Freiheitlichen - Liste Westenthaler - BZÖ,BZÖ,193539,4.11%,
260,['2019'],Kommunistische Partei Österreichs,KPÖ,47578,1.01%,
261,['2019'],"Liste Dr. Martin - Für Demokratie, Kontrolle, Gerechtigkeit",MATIN,131688,2.80%,
262,['2019'],EU-Austritt - Neutrales Freies Österreich,NFÖ,10594,0.23%,
263,['2019'],IVE INITIATIVE2000,IVE,592,0.01%,
264,['2019'],Liste Stark,STARK,312,0.01%,
265,['2019'],"Sicher-Absolut-Unabhängig, Franz Radinger",SAU,1514,0.03%,
266,['2019'],"Sozialistische LinksPartei, Liste gegen Kapitalismus und Rassismus",SLP,2257,0.05%,
267,['2019'],Sozialdemokratische Partei Österreichs,SPÖ,1430206,29.26%,
268,['2019'],Österreichische Volkspartei,ÖVP,1269656,25.98%,
269,['2019'],Die Grünen - Die Grüne Alternative,GRÜNE,509936,10.43%,
270,['2019'],Freiheitliche Partei Österreichs,FPÖ,857029,17.54%,
271,['2019'],BZÖ - Liste Jörg Haider,BZÖ,522933,10.70%,
272,['2019'],Bürgerforum Österreich Liste Fritz Dinkhauser,FRITZ,86194,1.76%,
273,['2019'],Die Christen,DC,31080,0.64%,
274,['2019'],Kommunistische Partei Österreichs,KPÖ,37362,0.76%,
275,['2019'],Liberales Forum,LIF,102249,2.09%,
276,['2019'],Unabhängige Bürgerinitiative Rettet Österreich,RETTÖ,35718,0.73%,
277,['2019'],Die Linke,LINKE,349,0.01%,
278,['2019'],Dipl.Ing. Karlheinz H. Klement, ,347,0.01%,
279,['2019'],Linke,LINKE,1789,0.04%,
280,['2019'],Liste Stark,STARK,237,0.00%,
281,['2019'],Tierrechtspartei earth-human-animals-nature,TRP,2224,0.05%,
282,['2019'],Sozialdemokratische Partei Österreichs,SPÖ,1258605,26.82%,
283,['2019'],Österreichische Volkspartei,ÖVP,1125876,23.99%,
284,['2019'],Freiheitliche Partei Österreichs,FPÖ,962313,20.51%,
285,['2019'],BZÖ - Liste Josef Bucher,BZÖ,165746,3.53%,
286,['2019'],Die Grünen - Die Grüne Alternative,GRÜNE,582657,12.42%,
287,['2019'],Team Frank Stronach,FRANK,268679,5.73%,
288,['2019'],NEOS Das Neue Österreich und Liberales Forum,NEOS,232946,4.96%,
289,['2019'],Kommunistische Partei Österreichs,KPÖ,48175,1.03%,
290,['2019'],Piratenpartei Österreichs,PIRAT,36265,0.77%,
291,['2019'],Christliche Partei Österreichs,CPÖ,6647,0.14%,
292,['2019'],Der Wandel,WANDL,3051,0.07%,
293,['2019'],Männerpartei,M ,490,0.01%,
294,['2019'],EU-Austrittspartei,EUAUS,510,0.01%,
295,['2019'],Sozialistische LinksPartei,SLP,947,0.02%,
296,['2019'],Sozialdemokratische Partei Österreichs ,SPÖ,1361746,26.86%,
297,['2019'],Liste Sebastian Kurz - die neue Volkspartei ,ÖVP,1595526,31.47%,
298,['2019'],Freiheitliche Partei Österreichs ,FPÖ,1316442,25.97%,
299,['2019'],Die Grünen - Die Grüne Alternative ,GRÜNE,192638,3.80%,
300,['2019'],"NEOS - Das Neue Österreich gemeinsam mit Irmgard Griss, Bürgerinnen und Bürger für Freiheit und Verantwortung",NEOS,268518,5.30%,
301,['2019'],Liste Peter Pilz ,PILZ,223543,4.41%,
302,['2019'],Liste Roland Düringer - Meine Stimme GILT ,GILT,48234,0.95%,
303,['2019'],Freie Liste Österreich & FPS Liste Dr. Karl Schnell,FLÖ,8889,0.18%,
304,['2019'],Kommunistische Partei Österreichs und Plattform Plus - offene Liste,KPÖ,39689,0.78%,
305,['2019'],Die Weissen - Das Recht geht vom Volk aus. Wir alle entscheiden in Österreich. Die Volksbewegung ,WEIẞE,9167,0.18%,
306,['2019'],Sozialistische LinksPartei ,SLP,713,0.01%,
307,['2019'],"Für Österreich, Zuwanderungsstopp, Grenzschutz, Neutralität, EU-Austritt ",EUAUS,693,0.01%,
308,['2019'],Männerpartei - für ein faires Miteinander ,M,221,0.00%,
309,['2019'],Christliche Partei Österreichs ,CPÖ,425,0.01%,
310,['2019'],NBZ - Neue Bewegung für die Zukunft ,NBZ,2724,0.05%,
311,['2019'],Obdachlose in der Politik ,ODP,761,0.02%,
312,['2019'],Liste Sebastian Kurz – die neue Volkspartei,ÖVP,1789417,37.5%,
313,['2019'],Sozialdemokratische Partei Österreichs,SPÖ,1011868,21.2%,
314,['2019'],Freiheitliche Partei Österreichs,FPÖ,772666,16.2%,
315,['2019'],NEOS – Das Neue Österreich,NEOS,387124,8.1%,
316,['2019'],JETZT – Liste Pilz,JETZT,89169,1.9%,
317,['2019'],"Alternative Listen, KPÖ Plus, Linke und Unabhängige",KPÖ,32736,0.7%,
318,['2019'],Die Grünen – Die Grüne Alternative,GRÜNE,664055,13.9%,
319,['2019'],"Wandel – Aufbruch in ein gemeinwohlorientiertes Morgen mit guter Arbeit, leistbarem Wohnen und radikaler Klimapolitik. Es gibt viel zu gewinnen.",WANDL,22168,0.5%,
320,['2019'],Christliche Partei Österreichs,CPÖ,260,0.0%,
321,['2019'],Allianz der Patrioten,BZÖ,760,0.0%,
322,['2019'],Sozialistische LinksPartei – SLP,SLP,310,0.0%,
323,['2019'],Jede Stimme GILT: Bürgerparlamente & Expertenregierung,GILT,1767,0.0%,
324,['2019'],BPÖ – Bierpartei Österreich,BIER,4946,0.1%,
